阶段,具体改造步骤,主要工作内容,旧项目梳理/迁移范围,预计工作量,完成后达到的效果
"第 1 周","旧项目结构与用例梳理","梳理 conf/lib/testCase/testData 现状，识别可复用能力、耦合点、旧用例分布","梳理 2 个 sheet、共 15 条 API 用例","0.5 人天","明确哪些代码保留、哪些重构、哪些迁移"
"第 1 周","新框架骨架搭建","新建 automation/ 目录，建立 core/api/ui/tests/testdata 结构，初始化 pytest.ini、conftest.py、main.py、requirements.txt","不涉及用例迁移","0.5 人天","新框架具备承载能力，新旧框架可并行存在"
"第 1 周","配置与入口重构","拆分环境配置，替换硬编码 base_url、Allure 路径，统一 main.py + pytest + scripts 入口","不涉及用例迁移","0.5 人天","具备多环境切换基础，执行入口统一"
"第 1 周","登录 API 与认证能力实现","实现登录接口封装、登录响应解析、token 提取能力，形成新框架第一条核心 API 能力","为全部 15 条 API 用例提供认证基础","1 人天","新框架具备统一登录能力，不再手工依赖固定 authorization"
"第 1 周","session/token 自动注入机制","将登录得到的 token 处理为 session 级参数，自动注入请求头，替代手工修改 authorization","覆盖旧项目全部需要鉴权的 API 用例","1 人天","后续所有接口请求可自动带鉴权，不再手动改配置文件"
"第 1 周","首条 API 用例迁移与调通","选择 asserts 或 events 中 1 条代表性用例迁移到新框架，打通登录 -> 取 token -> 自动鉴权 -> 业务请求 -> 断言 -> 报告全链路","迁移并跑通 1 条首条 API 用例","1 人天","新框架完成从 0 到 1 验证，证明结构和鉴权机制可用"
"第 1 周","数据访问层重构与批量迁移核心用例","将 Excel 读取与测试数据能力拆为 loaders/providers/factories，并在首条用例跑通基础上继续迁移其余核心 API 用例","在首条用例基础上继续迁移并跑通累计 10~15 条 API 用例","1 人天","第 1 周即可展示可运行的新 API 框架 MVP，并具备批量迁移能力"
"第 2 周","UI 运行环境接入","引入 Playwright，建立 ui/pages/components/flows 结构，验证浏览器可启动","不涉及旧用例迁移","1 人天","新框架从 API-only 扩展为 API + UI"
"第 2 周","页面对象与组件封装","封装登录页、首页、资产页、告警页及表格、筛选器、菜单组件","不涉及旧用例迁移","2 人天","UI 定位器和页面动作下沉，后续维护成本降低"
"第 2 周","业务流与首批 UI 用例落地","建立 LoginFlow / AssetFlow / AlertFlow，编写 UI 冒烟用例","新增 8~12 条代表性 UI 用例","1.5 人天","可展示登录、资产、告警等常规 UI 自动化能力"
"第 2 周","API/UI 共用能力打通与稳定性处理","打通配置、账号、数据、日志、报告等共用能力，修复首批 UI 稳定性问题","联调 10~15 条 API 用例 + 8~12 条 UI 用例","0.5 人天","第 2 周结束后形成 API + UI 一体化可执行框架"
"第 3 周","测试集分类治理","按 smoke / regression / permission 分类重组用例，补充 marker 规范","纳入首批 10~15 条 API 用例和 8~12 条 UI 用例","1 人天","用例从散点执行变成按目标执行"
"第 3 周","基础权限测试建设","梳理管理员、分析员等基础角色，增加角色数据和页面可见性校验","新增 4~6 条权限类用例","1 人天","框架具备基础权限校验能力"
"第 3 周","执行脚本与报告整理","建立 smoke/regression 执行脚本，统一 Allure 报告输出方式","覆盖首批已迁移/新增用例","1 人天","本地执行与报告查看方式标准化"
"第 3 周","CI 接入与稳定性验证","增加基础 CI 入口，验证依赖、路径、执行链路","覆盖首批已迁移/新增用例","1 人天","新框架具备持续集成最小能力"
"第 3 周","文档整理与迁移收口","补充 README、编写规范、迁移说明，整理旧框架兼容期方案","输出迁移范围说明：已迁移 10~15 API 用例，新增 8~12 UI 用例，新增 4~6 权限用例","1 人天","形成可汇报、可交付、可推广的 MVP 版本"
